gender,age_group,transformation,image_id_01,distortion_level_11,distortion_level_12,distortion_level_21,distortion_level_22,reaction_time_ms,answer
man,41-50,scale,18,1,3,5,10,4272,2
man,41-50,scale,18,5,3,6,10,4586,2
man,41-50,scale,18,6,10,3,2,7100,1
man,41-50,scale,18,7,4,2,3,12341,2
man,41-50,scale,18,7,6,3,1,5277,2
man,41-50,scale,18,8,9,4,5,5167,1
man,41-50,scale,20,1,3,4,5,5365,2
man,41-50,scale,20,1,4,10,8,9952,2
man,41-50,scale,20,8,6,5,1,12923,1
man,41-50,scale,20,9,7,2,5,6723,1
man,41-50,scale,21,6,10,1,3,14081,1
man,41-50,scale,21,8,9,1,6,23476,2
man,41-50,scale,22,4,3,6,7,8190,2
man,41-50,scale,23,2,3,5,10,8712,2
man,41-50,scale,23,7,9,5,3,12901,2
man,41-50,scale,24,3,4,9,10,9746,2
man,41-50,gaussian_noise,1,1,4,8,9,4512,1
man,41-50,gaussian_noise,1,1,4,9,6,6387,1
man,41-50,gaussian_noise,2,2,3,6,9,14877,2
man,41-50,gaussian_noise,2,4,5,3,2,6620,2
man,41-50,gaussian_noise,2,6,8,5,4,7961,2
man,41-50,gaussian_noise,2,10,6,1,2,12446,1
man,41-50,gaussian_noise,3,2,1,8,6,6196,1
man,41-50,gaussian_noise,3,6,8,5,4,8974,2
man,41-50,gaussian_noise,4,6,1,10,7,4206,1
man,41-50,gaussian_noise,4,7,10,5,3,8290,2
man,41-50,gaussian_noise,4,8,5,9,10,5592,1
man,41-50,gaussian_noise,4,9,10,4,8,4743,2
man,41-50,gaussian_noise,5,1,6,8,9,5607,1
man,41-50,gaussian_noise,5,3,2,4,5,8954,1
man,41-50,gaussian_noise,5,5,2,10,9,6010,1
man,41-50,gaussian_noise,6,2,5,9,10,12984,1
man,41-50,gaussian_noise,6,9,5,4,2,10120,1
man,41-50,gaussian_noise,6,9,8,7,1,7207,2
man,41-50,gaussian_noise,6,9,10,5,7,12254,1
man,41-50,gaussian_noise,7,1,4,6,7,5164,1
man,41-50,gaussian_noise,7,1,4,10,8,7642,2
man,41-50,gaussian_noise,7,2,1,10,7,10780,1
man,41-50,gaussian_noise,7,2,3,9,5,7632,2
man,41-50,gaussian_noise,8,6,5,8,7,9567,1
man,41-50,gaussian_noise,8,6,10,4,3,10348,2
man,41-50,gaussian_noise,8,8,6,3,4,17366,1
man,41-50,gaussian_noise,9,1,2,3,8,8398,2
man,41-50,gaussian_noise,10,2,5,9,7,6715,1
man,41-50,gaussian_noise,10,8,7,2,4,11043,2
man,41-50,gaussian_noise,11,3,2,4,5,9744,1
man,41-50,gaussian_noise,11,8,4,1,3,6605,2
man,41-50,gaussian_noise,12,7,6,5,1,3892,2
man,41-50,gaussian_noise,12,9,10,6,4,8145,2
man,41-50,gaussian_noise,12,10,8,1,4,4003,2
man,41-50,gaussian_noise,13,6,8,3,5,12932,2
man,41-50,gaussian_noise,14,1,3,7,8,7016,1
man,41-50,gaussian_noise,16,5,7,1,4,4460,2
man,41-50,gaussian_noise,16,8,9,7,2,6808,2
man,41-50,gaussian_noise,18,3,1,6,9,4447,1
man,41-50,gaussian_noise,18,7,9,5,6,15863,2
man,41-50,gaussian_noise,19,4,5,9,10,12219,1
man,41-50,gaussian_noise,19,8,2,10,9,6066,1
man,41-50,gaussian_noise,20,3,1,7,6,4663,1
man,41-50,gaussian_noise,20,10,6,1,3,5247,2
man,41-50,gaussian_noise,21,7,5,2,1,6673,2
man,41-50,gaussian_noise,24,1,4,6,8,4616,1
man,41-50,gaussian_noise,24,3,4,8,6,8241,2
man,41-50,gaussian_noise,24,4,2,5,9,13989,1
man,41-50,gaussian_noise,1,5,3,8,9,14592,1
man,41-50,gaussian_noise,1,8,6,1,2,5111,2
man,41-50,gaussian_noise,2,9,10,2,5,5081,2
man,41-50,gaussian_noise,3,4,9,3,2,12445,1
man,41-50,gaussian_noise,3,5,4,8,10,7987,1
man,41-50,gaussian_noise,3,8,9,6,4,8285,2
man,41-50,gaussian_noise,4,1,2,4,6,9686,1
man,41-50,gaussian_noise,4,1,5,6,10,4391,1
man,41-50,gaussian_noise,6,2,1,4,3,13068,2
man,41-50,gaussian_noise,6,2,4,6,9,8241,1
man,41-50,gaussian_noise,6,10,9,8,4,11512,2
man,41-50,gaussian_noise,7,5,4,7,9,8284,1
man,41-50,gaussian_noise,7,10,8,1,7,3850,2
man,41-50,gaussian_noise,8,10,4,2,1,8651,1
man,41-50,gaussian_noise,9,1,6,9,10,4250,1
man,41-50,gaussian_noise,9,2,1,10,3,6055,2
man,41-50,gaussian_noise,9,2,4,9,7,5248,1
man,41-50,gaussian_noise,9,4,9,1,2,9080,2
man,41-50,gaussian_noise,9,6,9,3,4,8962,1
man,41-50,gaussian_noise,9,9,10,1,2,8952,2
man,41-50,gaussian_noise,9,10,8,4,6,6488,2
man,41-50,gaussian_noise,9,10,9,3,6,8061,2
man,41-50,gaussian_noise,10,4,8,1,3,4253,2
man,41-50,gaussian_noise,10,6,1,9,7,4760,1
